id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
54044243,Beautiful QM Meadow View Apartment  inc parking,398444513,Fiona,,Meadows and Southside,55.94356,-3.19577,Entire home/apt,329,2,23,2022-09-10,3.17,6,1,23,
54049049,BEAUTIFUL SUNNY ROOM,165903633,Katarina,,Slateford and Chesser,55.93399,-3.24018,Private room,56,1,31,2022-09-09,3.66,1,80,31,
54064928,Beautiful 1 Bedroom close to Edinburgh City Centre,224444157,Sue And Grant,,Polwarth,55.93814,-3.21978,Entire home/apt,79,3,6,2022-08-09,1.98,26,10,6,
54092437,"★ CENTRAL ★ Royal Mile, castle <150m ★ FREE parking ★",132693648,Lewis,,"Old Town, Princes Street and Leith Street",55.94982,-3.195,Entire home/apt,276,1,14,2022-08-25,2.13,25,311,14,
54101716,Beautiful two bedroom flat in Edinburgh's West End,107643212,Dorothy,,Deans Village,55.948601,-3.213979,Entire home/apt,175,2,34,2022-09-11,4.81,1,6,34,
54111988,Garden place,407629752,Elyon,,Meadows and Southside,55.94313,-3.19389,Entire home/apt,200,180,0,,,1,253,0,
54118879,Bright traditional 2 bed home close to city centre,396590105,Dayna,,Newington and Dalkeith Road,55.93456,-3.16851,Entire home/apt,146,2,17,2022-08-22,2.56,8,350,17,
54124115,Luxury Scottish Apartment in Peaceful Meadows Park,317425302,Ondrej,,Marchmont West,55.93884,-3.19625,Entire home/apt,244,1,21,2022-08-29,2.84,13,300,21,
54127101,High End Main Door Classic Edinburgh Abode,418909172,Gin @Staycasa Accommodation,,Deans Village,55.950172424316406,-3.2122209072113037,Entire home/apt,232,1,4,2022-08-27,1.28,2,265,4,
54127490,Stunning Artistic Hideout Perfect for family!,418909172,Gin @Staycasa Accommodation,,Polwarth,55.9390983581543,-3.2218430042266846,Entire home/apt,255,1,15,2022-07-31,3.49,2,204,15,
54171960,Lovely 1-Bed Apartment in Edinburgh,310835509,TravelNest,,Meadows and Southside,55.94351,-3.18317,Entire home/apt,130,1,11,2022-08-30,1.49,5,358,11,
54172898,Double room w/private bathroom in modern flat,439210928,James,,Bonnington,55.97229,-3.18545,Private room,75,2,0,,,1,224,0,
54196729,Stunning 1 Bed at Holyrood Palace & Arthurs Seat,344268039,Rentir,,"Canongate, Southside and Dumbiedykes",55.95375,-3.17572,Entire home/apt,157,2,9,2022-08-05,2.90,35,335,9,
54197623,Elite 3 Bed New Town Apt w/ Private Walled Garden,344268039,Rentir,,New Town West,55.95779,-3.20103,Entire home/apt,307,2,19,2022-08-24,2.86,35,50,19,
54203292,Stylish Central Apt w/ Private Entrance - Sleeps 7,39210649,Kieran,,New Town West,55.95476,-3.20156,Entire home/apt,536,3,5,2022-08-29,3.95,1,221,5,
54204268,A wee jewel in Edinburgh’s crown,427668043,Graeme,,Marchmont East and Sciennes,55.93893,-3.19201,Entire home/apt,140,3,0,,,2,307,0,
54211372,Spacious 2BR-2BA near Pilrig Park - Free Parking,132693648,Lewis,,Great Junction Street,55.96813,-3.17673,Entire home/apt,176,2,1,2022-05-15,0.25,25,353,1,
54222705,Large ground floor apartment on the Royal Mile,36640294,Douglas,,"Old Town, Princes Street and Leith Street",55.950893,-3.182868,Entire home/apt,130,3,45,2022-09-12,6.14,1,112,45,
54234920,2 Beds Flat with Private Entrance,436001753,Daniel-Pass The Keys,,New Town West,55.95378,-3.20551,Entire home/apt,152,2,20,2022-08-25,2.64,2,168,20,
54238036,Stunning 1 bedroom flat in fantastic location,225887439,Lucy,,Hillside and Calton Hill,55.9579,-3.17623,Entire home/apt,250,14,0,,,1,246,0,
54238630,Beautiful Tenement with Amazing Views,177557023,Clare,,Trinity East and The Dudleys,55.97948,-3.19855,Entire home/apt,156,2,6,2022-08-21,2.47,1,96,6,
54239976,Edinburgh Luxury Apartment- The Matisse Suite,419355745,James,,Tollcross,55.94783,-3.204975,Entire home/apt,289,2,21,2022-09-05,3.01,1,208,21,
54242500,Charming One Bedroom Cottage in South Edinburgh,439861609,Paul,,Liberton West and Braid Hills,55.90589,-3.16605,Entire home/apt,78,2,16,2022-09-07,2.12,1,0,16,
54265277,Executive Family Ensuite Room at Twin Lions Hotel,439957803,Jennifer,,Balgreen and Roseburn,55.94438,-3.25473,Private room,102,1,1,2022-05-01,0.22,9,345,1,
54265280,Executive Double Ensuite at Twin Lions Hotel,439957803,Jennifer,,Balgreen and Roseburn,55.9441,-3.25614,Private room,109,1,0,,,9,336,0,
54265282,Executive Twin Ensuite at Twin Lions Hotel,439957803,Jennifer,,Balgreen and Roseburn,55.94407,-3.25387,Private room,120,1,0,,,9,332,0,
54265284,Family Ensuite at Twin Lions Hotel,439957803,Jennifer,,Balgreen and Roseburn,55.94366,-3.25534,Private room,100,1,0,,,9,344,0,
54265287,Double Shared Bathroom at Twin Lions Hotel,439957803,Jennifer,,Murrayfield and Ravelston,55.94519,-3.2557,Private room,99,1,1,2022-04-24,0.21,9,322,1,
54265292,Single room with Shared Bathroom at Twin Lions Hotel,439957803,Jennifer,,Balgreen and Roseburn,55.94376,-3.25528,Private room,80,1,1,2022-02-26,0.15,9,330,1,
54265295,Double Shared Bathroom at Twin Lions Hotel,439957803,Jennifer,,Balgreen and Roseburn,55.94434,-3.2544,Private room,99,1,0,,,9,334,0,
54265299,Double Ensuite at Twin Lions Hotel,439957803,Jennifer,,Murrayfield and Ravelston,55.9449,-3.25548,Private room,106,1,0,,,9,339,0,
54265300,Family Shared Bathroom at Twin Lions Hotel,439957803,Jennifer,,Murrayfield and Ravelston,55.94551,-3.25601,Private room,110,1,0,,,9,336,0,
54274690,5 min walk to Royal Mile & Old Town. Free Parking!,150902641,Michelle,,"Canongate, Southside and Dumbiedykes",55.94849,-3.182,Entire home/apt,107,1,24,2022-09-07,3.01,4,34,24,
54276800,2 bedroom garden flat in a quiet area,26239172,Malgorzata,,Restalrig (Loganlea) and Craigentinny West,55.959404287692664,-3.145325223272137,Entire home/apt,220,1,0,,,1,339,0,
54278327,Luxury Renovated 1 Bed Nr St James - Super Central,344268039,Rentir,,"Old Town, Princes Street and Leith Street",55.9573,-3.18821,Entire home/apt,200,2,21,2022-07-07,2.84,35,309,21,
54287180,Standard Double Ensuite at Hanover House Hotel,238865026,Jasmin,,Hillside and Calton Hill,55.95742,-3.18106,Private room,120,1,0,,,3,316,0,
54287183,Standard Twin Ensuite at Hanover House Hotel,238865026,Jasmin,,Hillside and Calton Hill,55.95919,-3.18294,Private room,119,1,0,,,3,288,0,
54287184,Standard Family Ensuite at Hanover House Hotel,238865026,Jasmin,,Hillside and Calton Hill,55.95954,-3.18258,Private room,220,1,0,,,3,311,0,
54287203,One bedroom  apartment . City centre 30 min walk.,440282166,Tatiana,,The Grange,55.930603,-3.191181,Entire home/apt,100,2,24,2022-08-29,3.51,1,0,24,
54289096,1-bedroom first floor flat in North Edinburgh,124008389,Steph,,Great Junction Street,55.97270013380358,-3.1765071714790616,Entire home/apt,58,3,1,2022-08-14,1,1,0,1,
54290453,Double Ensuite at Lantern Guest House,250947129,Richard,,Hillside and Calton Hill,55.95898,-3.18304,Private room,112,1,0,,,3,295,0,
54290455,Double Ensuite at Lantern Guest House,250947129,Richard,,Hillside and Calton Hill,55.95759,-3.1812,Private room,113,1,0,,,3,315,0,
54290457,Double Ensuite at Lantern Guest House,250947129,Richard,,Hillside and Calton Hill,55.95724,-3.18131,Private room,101,1,1,2022-02-06,0.14,3,319,1,
54293916,Modern 1 bed apartment in Edinburgh’s city centre,54842685,Faith,,New Town East and Gayfield,55.95976,-3.1864,Entire home/apt,130,2,6,2022-09-11,1.19,1,9,6,
54298599,Stunning 3 Bedroom Flat in Bruntsfield,429106687,Ruth,,Bruntsfield,55.94071,-3.20599,Entire home/apt,196,3,2,2022-07-03,0.75,1,61,2,
54298607,Cheerful 3 Bedroom Edinburgh family home,1116835,Mariel & Richard,,Trinity,55.97345,-3.2177,Entire home/apt,86,6,1,2022-04-17,0.20,1,0,1,
54299856,Double Ensuite with Shower at Highfield Guest House,1626229,Maggie,,"Blackford, West Mains and Mayfield Road",55.92914,-3.17402,Private room,125,1,0,,,4,43,0,
54299859,Twin Ensuite with Shower at Highfield Guest House,1626229,Maggie,,"Blackford, West Mains and Mayfield Road",55.92875,-3.17598,Private room,125,1,0,,,4,41,0,
54299862,Family Ensuite with Shower at Highfield Guest House,1626229,Maggie,,"Blackford, West Mains and Mayfield Road",55.93062,-3.17477,Private room,200,1,0,,,4,36,0,
54299867,Double Ensuite with Shower at Highfield Guest House,1626229,Maggie,,"Blackford, West Mains and Mayfield Road",55.92847,-3.17478,Private room,125,1,0,,,4,43,0,
54335412,Broughton Bolthole - Chic haven in superb location,6200921,Eddie,,New Town East and Gayfield,55.958,-3.18728,Entire home/apt,178,2,38,2022-09-06,5.11,22,137,38,
54338357,Cosy double bed in tropical-inspired flat,149221785,Liliana,,Greenbank and The Braids,55.91367,-3.2276,Private room,35,4,1,2022-03-21,0.17,1,231,1,
54341174,Wonderful & Comfy ★ Close to City Centre ★ Parking,102221550,Vincent,,South Leith,55.96563,-3.17501,Entire home/apt,140,2,16,2022-08-11,2.03,18,106,16,
54356120,Stunningly Renovated 1 Bed Flat in Newington,16823864,Paul,,Meadows and Southside,55.94208,-3.18367,Entire home/apt,101,2,40,2022-09-06,5.45,1,122,40,
54357794,Deluxe Double or Twin Ensuite at The Lane Hotel,55109476,Amy,,Morningside,55.92818,-3.20977,Private room,184,1,0,,,6,312,0,
54357797,Classic Double or Twin Ensuite Disabled Access at The Lane Hotel,55109476,Amy,,Morningside,55.92652,-3.20873,Private room,143,1,0,,,6,217,0,
54357798,Economy Double Ensuite with Shower at The Lane Hotel,55109476,Amy,,Morningside and Craighouse,55.92624,-3.20951,Private room,127,1,0,,,6,171,0,
54357801,Deluxe Double Ensuite with Bath at The Lane Hotel,55109476,Amy,,Morningside,55.92861,-3.20826,Private room,187,1,0,,,6,204,0,
54357803,Luxury Double or Twin Ensuite with Bath at The Lane Hotel,55109476,Amy,,Morningside,55.92643,-3.20884,Private room,204,1,0,,,6,273,0,
54357804,Premier Double or Twin Ensuite with Bath & City View at The Lane Hotel,55109476,Amy,,Morningside,55.92784,-3.21022,Private room,217,1,0,,,6,285,0,
54358698,Lovely private bedroom with Free Parking,33148425,Maria,,Newington and Dalkeith Road,55.94198,-3.17551,Private room,56,2,35,2022-08-30,4.51,2,111,35,
54361444,Mews cottage city centre,22868628,Jemima,,New Town East and Gayfield,55.95951335233772,-3.190253000424296,Entire home/apt,197,3,1,2022-09-04,1,6,73,1,
54383415,Panmure Place Georgian 3-bedroom Apartment,22597535,Agnes & Philip,,Meadows and Southside,55.94411,-3.20039,Entire home/apt,250,3,5,2022-07-15,0.94,29,48,5,
54383823,"No. 5 Warriston, Canonmills Luxury Apartment",22597535,Agnes & Philip,,Broughton North and Powderhall,55.963676,-3.198868,Entire home/apt,183,3,8,2022-09-07,1.41,29,62,8,
54389580,Cheerful 4-bedroom house with good links to town,33351537,Andrew,,Gilmerton South and the Murrays,55.90147,-3.13801,Entire home/apt,100,1,0,,,2,0,0,
54396993,Edimbourg - Leith Walk,441770805,Nicolas,,Broughton South,55.96396,-3.18436,Private room,54,2,9,2022-09-12,1.35,1,22,9,
54400868,Stylish 2 bedroom mews house with private garage,6200921,Eddie,,"Old Town, Princes Street and Leith Street",55.9584,-3.18949,Entire home/apt,180,2,35,2022-09-10,4.75,22,157,35,
54401487,Large spacious bright double room - females only,81319829,Sally,,Boswall and Pilton,55.97231,-3.22058,Private room,21,2,19,2022-08-23,2.75,1,144,19,
54408964,Stylish 1-bedroom apartment close to City Centre,230384072,Joanna,,Leith (Albert Street),55.96244,-3.17392,Entire home/apt,99,1,32,2022-09-03,4.80,1,30,32,
504990846058022382,Cheerful home near airport & city centre.,226530933,Clare,,Corstorphine,55.94313,-3.28867,Entire home/apt,60,2,5,2022-06-27,0.96,2,10,5,
512621397183137228,Bright 3 bedroom house in west Edinburgh.,26054354,Keith,,Clermiston and Drumbrae,55.95639,-3.28207,Entire home/apt,125,5,0,,,1,345,0,
517587006922625781,Lovely bedroom in the middle of the city,436073861,Stella,,Meadowbank and Abbeyhill North,55.95557405950912,-3.1619732126429345,Private room,40,7,5,2022-08-20,3.75,1,32,5,
523968872029920836,Fantastic Fountainbridge Flat,6200921,Eddie,,Dalry and Fountainbridge,55.94336,-3.21191,Entire home/apt,225,2,45,2022-09-08,5.87,22,144,45,
527631419288074440,Stylish 1 Bedroom apartment @centre of old town,126446834,Isabel,,"Old Town, Princes Street and Leith Street",55.94762,-3.184835,Entire home/apt,125,2,31,2022-09-11,8.69,1,83,31,
535976921619088831,GuestReady Fantastic 1 Bdr W Garden in Stockbridge,438875819,Sharron,,Stockbridge,55.95845,-3.21136,Entire home/apt,154,3,6,2022-06-18,1.16,1,355,6,
537736115041253417,The Edinburgh Chapter - cosy double room for rent,440047561,Ji-Eun,,Drylaw,55.9667,-3.24367,Private room,47,2,0,,,1,1,0,
538047631745186153,Stunning Panoramic Views: Heart of the Royal Mile,437860774,Carol,,"Old Town, Princes Street and Leith Street",55.9491,-3.18856,Entire home/apt,173,2,116,2022-09-08,3.12,1,24,49,
538343420076777801,Twin Ensuite at Ardleigh House,206345412,Bob,,Trinity East and The Dudleys,55.97248,-3.2023,Private room,180,1,0,,,4,181,0,
538343471376688836,Double Ensuite at Ardleigh House,206345412,Bob,,Trinity East and The Dudleys,55.97303,-3.20272,Private room,180,1,0,,,4,182,0,
538343515499447347,Family Ensuite at Ardleigh House,206345412,Bob,,Trinity East and The Dudleys,55.97239,-3.20246,Private room,190,1,0,,,4,176,0,
538343563429699914,Family Private Bathroom at Ardleigh House,206345412,Bob,,Trinity East and The Dudleys,55.9729,-3.20272,Private room,200,1,0,,,4,191,0,
539228703790847653,Superior Double Ensuite at Spylaw Bank House,33270468,David,,Bonaly and The Pentlands,55.90889,-3.26797,Private room,60,1,2,2022-08-09,0.40,2,261,2,
539228775856493198,Standard Double Ensuite at Spylaw Bank House,33270468,David,,Bonaly and The Pentlands,55.90886,-3.26814,Private room,60,1,1,2022-05-29,0.28,2,259,1,
541115853321858319,Clean and cosy double room in female-only flat,169750165,Sidrah,,Leith (Hermitage and Prospect Bank),55.96433,-3.1612,Private room,29,5,8,2022-09-08,1.13,1,31,8,
541819645970403486,2 Bedroom Flat - Ravelston,12422856,Rebecca,,Murrayfield and Ravelston,55.95389,-3.2478,Entire home/apt,115,2,25,2022-09-04,6.41,1,12,25,
542475452469224822,Renovated City Centre 2BD APT W/ Projector Screen!,392947179,James,,Tollcross,55.94444,-3.20042,Entire home/apt,137,2,10,2022-09-05,1.37,14,0,10,
542528677660869093,Beautiful Hideout in Center of Edinburgh - Business - Holidays,317425302,Ondrej,,Canonmills and New Town North,55.95943,-3.19874,Entire home/apt,169,1,26,2022-08-28,3.53,13,56,26,
543382682297312942,Lovely cosy 2 bedroom flat in quiet neighbourhood,441181567,Norman,,Restalrig (Loganlea) and Craigentinny West,55.95755,-3.14264,Entire home/apt,61,10,13,2022-08-11,1.83,4,53,13,
544134572436959691,"Lovely Bedroom, Free Parking & Arthur's Seat Views",33148425,Maria,,Newington and Dalkeith Road,55.94242,-3.17499,Private room,53,2,63,2022-08-27,8.55,2,65,63,
544761188992939672,"City centre 2 bed+sofabed, 2 bath  private parking",449232295,Abhishek,,The Grange,55.935013,-3.177195,Entire home/apt,157,3,14,2022-09-11,2.68,1,45,14,
546420213172178747,Lovely double/twin room in the historic New Town,441796736,Rebecca,,New Town West,55.9576,-3.19808,Private room,86,1,15,2022-09-08,2.05,1,0,15,
546869945287141140,Gorgeous 2 BD Apartment + Balcony in Leith,392947179,James,,The Shore and Constitution Street,55.97494,-3.17131,Entire home/apt,211,2,2,2022-04-30,0.33,14,0,2,
546948604719048274,"Lovely private double room by The Shore, Leith.",128532208,Christie,,Great Junction Street,55.97288,-3.17047,Private room,62,1,17,2022-08-11,2.33,1,2,17,
546972695421314710,Stylish & Modern 1BR Flat with⭑Free Parking!⭑,441906142,Robert-Pass The Keys,,Meadowbank and Abbeyhill North,55.95554,-3.15455,Entire home/apt,143,2,25,2022-09-04,4.63,1,154,25,
547117517459962677,Cozy one bedroom flat,21967845,Lucica,,Clovenstone and Wester Hailes,55.91225,-3.27827,Entire home/apt,45,3,5,2022-08-29,1.01,2,16,5,
547159640897231793,Cosy 1 bed Murrayfield flat with free parking,28673365,Kirsty,,Balgreen and Roseburn,55.9448,-3.23443,Entire home/apt,111,2,33,2022-08-29,4.97,1,31,33,
547203842733352768,Apartment  2 bathfree private parking,130056878,Tony,,Easter Road and Hawkhill Avenue,55.96276,-3.1638,Entire home/apt,194,2,8,2022-07-29,1.39,2,252,8,
547493404512317936,Modern and Stylish 2 Bed house in Edinburgh,392947179,James,,Leith (Hermitage and Prospect Bank),55.96747,-3.16249,Entire home/apt,147,2,26,2022-09-07,4.36,14,9,26,
547559114346810364,Open Plan Studio by Mansley,395767976,Guest Service ByMansley,,New Town West,55.954216,-3.198555,Entire home/apt,230,1,7,2022-08-04,1.00,8,337,7,
548304370811970079,Edinburgh West Tollcross 1 Bedroom Apartment,26836949,Nick,,Tollcross,55.9431,-3.2052,Entire home/apt,90,7,0,,,4,162,0,
548376720312518789,Broughton Street Lane - Modern townhouse with patio near the Playhouse,87762710,Denise,,New Town East and Gayfield,55.95833,-3.18762,Entire home/apt,259,1,26,2022-09-08,4.22,35,86,26,
548379199625991467,Lovely Modern Apartment at the Shore,317425302,Ondrej,,North Leith and Newhaven,55.9765,-3.17965,Entire home/apt,104,1,2,2022-05-19,0.34,13,285,2,
548384350134689583,❖ Cozy Room in Edinburgh City Centre ❖,33057471,Ada&Cem,,"Old Town, Princes Street and Leith Street",55.950859,-3.184466,Private room,156,2,32,2022-08-19,4.71,2,48,32,
548469882676350733,1 Bedroom flat in Edinburgh,426586512,Amanda,,Trinity,55.9778,-3.21483,Entire home/apt,54,2,28,2022-09-06,4.38,1,22,28,
549082201173963400,Modern 2-bedroom house on bus route to City Centre,45731272,Alex,,East Craigs North,55.94932,-3.31109,Entire home/apt,80,2,27,2022-09-12,4.07,1,243,27,
549150215677015365,Cozy Room in the city Centre with Private Bathroom,45910481,Arianna,,Leith (Albert Street),55.96205,-3.1723,Private room,53,2,19,2022-08-29,2.68,1,162,19,
549803501571005698,FG - Queen Street Amazing and Charming,1641675,Silver Lining,,New Town West,55.95439,-3.1966,Entire home/apt,345,2,0,,,16,0,0,
549805003583859028,F3 Gorgeous 3rd Floor One bedroom apartment,1641675,Silver Lining,,New Town West,55.95553,-3.19686,Entire home/apt,345,2,0,,,16,0,0,
549805288848471153,F2 - Queen Street lovely apartment,1641675,Silver Lining,,New Town West,55.95604,-3.19471,Entire home/apt,345,2,0,,,16,0,0,
549805850775409372,F1 - 1st Floor facing Queen Street.,1641675,Silver Lining,,New Town West,55.95482,-3.19666,Entire home/apt,345,2,1,2022-02-27,0.15,16,0,1,
549806446595436423,BG - Queen street - Ground Floor facing backyard,1641675,Silver Lining,,New Town West,55.95471,-3.19496,Entire home/apt,345,2,0,,,16,0,0,
549806994863171963,B3 - Cozy Studio at Queen Street,1641675,Silver Lining,,New Town West,55.95501,-3.1946,Entire home/apt,345,2,0,,,16,0,0,
549807566457940912,B2 Beautiful Ground Floor One Bedroom Apartment,1641675,Silver Lining,,New Town West,55.95473,-3.19683,Entire home/apt,345,2,0,,,16,0,0,
549808107663180097,B1 - 1st Floor facing backyard,1641675,Silver Lining,,"Old Town, Princes Street and Leith Street",55.95424,-3.19599,Entire home/apt,345,2,0,,,16,0,0,
550471021994997044,Cozy bedroom next to Water of Leith,37109490,Emilia,,Bonnington,55.97068,-3.1855,Private room,52,2,17,2022-09-12,2.32,1,109,17,
550811537136231928,Stunning 2 Bedroom Large Flat in Central Edinburgh,428954044,Ben,,Meadows and Southside,55.94276,-3.17996,Entire home/apt,160,2,16,2022-08-18,5.05,1,0,16,
551176904493424524,Lovely 4 bedroom apartment with beach views,38844412,Melanie,,Trinity,55.97997,-3.21628,Entire home/apt,129,10,0,,,4,41,0,
551377813305469627,★In the Heart of the Old Town★Spacious Double Bed★,22597010,Priscila,,"Canongate, Southside and Dumbiedykes",55.95171,-3.17725,Private room,83,1,61,2022-08-24,8.24,22,1,61,
551917384304456695,Cosy & Stylish Open Plan Studio,442912300,Kimberly-Pass The Keys,,Deans Village,55.95419,-3.20074,Entire home/apt,188,2,7,2022-07-04,1.40,1,30,7,
551987379807893881,New 3-Bedroom Apartment Close to City Centre,89558376,Kami,,"Blackford, West Mains and Mayfield Road",55.929768,-3.16903,Entire home/apt,184,2,19,2022-08-21,2.77,3,305,19,
551996337889131291,Edinburgh Hill Penthouse,442905678,Oliver,,Carrick Knowe,55.93955,-3.26888,Entire home/apt,1287,3,0,,,1,309,0,
